,name,nodes,filesystem,perf_var,perf_value,datetime,status,jobid
33727279,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.178763112722812,2023-08-02 08:58:00,completed,4108667
32656538,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1638418620211937,2023-08-02 07:53:00,completed,4108346
33488312,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.389150095285459,2023-08-02 06:49:00,completed,4108223
33503825,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3925242815993626,2023-08-02 05:44:00,completed,4108146
32512333,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3917051076267697,2023-08-02 04:41:00,completed,4107477
32644007,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.332568971187267,2023-08-02 03:37:00,completed,4107201
33404956,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1113935046302954,2023-08-02 02:32:00,completed,4107025
32199602,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.0967268173132836,2023-08-02 01:27:00,completed,4106913
32570317,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.40862352958754,2023-08-02 00:22:00,completed,4106568
32384970,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1474911522692086,2023-08-01 23:09:00,completed,4106370
32461445,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.406892693426237,2023-08-01 22:05:00,completed,4106117
32306262,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.008919550119267,2023-08-01 21:01:00,completed,4105793
35788351,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4052547196515104,2023-08-01 19:58:00,completed,4105528
35811186,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3677509499109115,2023-08-01 18:53:00,completed,4105276
34927848,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.131183302113529,2023-08-01 17:49:00,completed,4104891
35528737,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1710922974966382,2023-08-01 16:43:00,failed_performance,4104472
34734550,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.41543999162833,2023-08-01 15:39:00,completed,4103924
32713990,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1957284199938822,2023-08-01 14:31:00,completed,4103478
32306054,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4070493363685879,2023-08-01 13:25:00,completed,4103113
35788227,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.099942101751432,2023-08-01 11:05:00,failed_performance,4102429
35416166,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.060534439250507,2023-08-01 10:00:00,failed_performance,4102103
33496371,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3283973845800479,2023-08-01 08:55:00,failed_performance,4101756
34961527,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.228732833774256,2023-08-01 07:50:00,failed_performance,4101338
34760398,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.089710095890501,2023-08-01 06:46:00,completed,4100141
32946257,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.411597194747876,2023-08-01 05:40:00,failed_performance,4099768
34723986,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3810191513293484,2023-08-01 04:35:00,completed,4099047
36292182,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3732060511852135,2023-08-01 03:31:00,completed,4098668
35773303,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1399440853853435,2023-08-01 02:28:00,completed,4098547
32425846,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1634918137232992,2023-08-01 01:21:00,completed,4098458
33301186,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4126755794460906,2023-08-01 00:16:00,completed,4098239
35065806,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1425395034565806,2023-07-31 23:12:00,completed,4097996
34858910,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.363384867181269,2023-07-31 22:06:00,completed,4097305
31986327,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.148985885275968,2023-07-31 20:59:00,completed,4096782
32628999,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3525375762317444,2023-07-31 19:56:00,completed,4096510
36051075,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1777070493845845,2023-07-31 18:50:00,completed,4096259
33540277,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.18171967651605,2023-07-31 17:46:00,completed,4095731
32910362,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3439704574080622,2023-07-31 16:42:00,completed,4095169
33285280,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3791161695418108,2023-07-31 15:38:00,completed,4094343
34400809,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.447465487597058,2023-07-31 14:35:00,completed,4093791
33650552,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3873058664565137,2023-07-31 13:31:00,completed,4093283
34675872,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4264995281302735,2023-07-31 12:28:00,completed,4092737
35803259,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4530303488594012,2023-07-31 11:23:00,completed,4092139
33383175,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.388920634290253,2023-07-31 10:20:00,completed,4091422
33231483,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.139304411482792,2023-07-31 09:16:00,completed,4090903
34751706,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3897514867178071,2023-07-31 08:13:00,completed,4090438
35245454,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4038111193117402,2023-07-31 07:09:00,completed,4089915
32216735,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3437963821340262,2023-07-31 06:05:00,completed,4089482
32204624,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3779518356436817,2023-07-31 05:02:00,completed,4089107
34301475,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1655073396537918,2023-07-31 03:58:00,completed,4088636
34101473,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4128191484867743,2023-07-31 02:54:00,completed,4088220
32795118,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.438476572676096,2023-07-31 01:49:00,completed,4087883
32448156,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4143040509160447,2023-07-31 00:45:00,completed,4087571
32987214,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3526405765081526,2023-07-30 23:40:00,completed,4087227
32676263,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1803087990497427,2023-07-30 22:33:00,completed,4086973
32939721,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.4223903370588782,2023-07-30 21:29:00,completed,4085923
35349766,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.3879844329196325,2023-07-30 20:25:00,completed,4084754
35093658,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,fullstriped_hdf5,1.1737510306636678,2023-07-30 19:22:00,completed,4084141
